,Timestamp,idx,gaze_x,gaze_y,gaze_z,REyePos_x,REyePos_y,LEyePos_x,LEyePos_y,yaw,pitch,roll,HeadBox_xmin,HeadBox_ymin,RightEyeBox_xmin,RightEyeBox_ymin,LeftEyeBox_xmin,LeftEyeBox_ymin,ROpenClose,LOpenClose,set_x,set_y,set_z,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG
0,1732953569.538227,0.0,0.23699940741062164,-0.1994267702102661,0.9508208632469177,86.0,162.0,219.0,152.0,-3.564866542816162,-3.827223539352417,-3.3156867027282715,527.0,295.0,43.0,119.0,176.0,109.0,1.0,1.0,30.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1732953569.7155964,0.0,0.2576356828212738,-0.21961528062820435,0.9409533143043518,86.0,163.0,220.0,153.0,-3.4644222259521484,-3.2091798782348633,-3.565032958984375,526.0,294.0,43.0,120.0,177.0,110.0,1.0,1.0,30.0,17.0,0.0,1.0,0.0,0.0,-0.2802565412221677,0.0,-1.0,0.0,-0.02100912116299717,0.0,0.0,-1.0,0.9593461304460145,0.0,0.0,0.0,1.0
2,1732953569.8511312,0.0,0.24722155928611755,-0.22840802371501923,0.9416534304618835,87.0,162.0,221.0,152.0,-3.900801181793213,-1.6658682823181152,-3.2882437705993652,525.0,295.0,44.0,119.0,178.0,109.0,1.0,1.0,30.0,17.0,0.0,1.0,0.0,0.0,-0.28016164889804046,0.0,-1.0,0.0,-0.02107080699375386,0.0,0.0,-1.0,0.9593742309087594,0.0,0.0,0.0,1.0
3,1732953569.9921832,0.0,0.214618518948555,-0.18067818880081177,0.9598407745361328,89.0,163.0,223.0,152.0,-2.8481462001800537,-4.418750762939453,-3.3434348106384277,524.0,295.0,46.0,120.0,180.0,109.0,1.0,1.0,30.0,17.0,0.0,1.0,0.0,0.0,-0.28046375603795193,0.0,-1.0,0.0,-0.020747964233677727,0.0,0.0,-1.0,0.9592916565350713,0.0,0.0,0.0,1.0
4,1732953570.1390376,0.0,0.23699940741062164,-0.1994267702102661,0.9508208632469177,89.0,164.0,223.0,154.0,-2.471000909805298,-5.114175796508789,-3.487919330596924,524.0,294.0,46.0,121.0,180.0,111.0,1.0,1.0,30.0,17.0,0.0,1.0,0.0,0.0,-0.2803590786060395,0.0,-1.0,0.0,-0.019513018335741407,0.0,0.0,-1.0,0.9593423806424526,0.0,0.0,0.0,1.0
5,1732953570.281039,0.0,0.21660283207893372,-0.18927541375160217,0.9578141570091248,90.0,165.0,224.0,155.0,-1.905642032623291,-3.454028844833374,-3.4282960891723633,523.0,293.0,47.0,122.0,181.0,112.0,1.0,1.0,30.0,17.0,0.0,1.0,0.0,0.0,-0.27960605068951205,0.0,-1.0,0.0,-0.01977860167560707,0.0,0.0,-1.0,0.959559703267338,0.0,0.0,0.0,1.0
6,1732953570.419045,0.0,0.21660283207893372,-0.18927541375160217,0.9578141570091248,90.0,165.0,223.0,155.0,-1.705183506011963,-4.520544528961182,-3.3231101036071777,523.0,293.0,47.0,122.0,180.0,112.0,1.0,1.0,30.0,17.0,0.0,1.0,0.0,0.0,-0.2795587979910138,0.0,-1.0,0.0,-0.019934314088170823,0.0,0.0,-1.0,0.9595642018260935,0.0,0.0,0.0,1.0
7,1732953570.5606625,0.0,0.21660283207893372,-0.18927541375160217,0.9578141570091248,90.0,165.0,224.0,156.0,-1.6211237907409668,-3.8971638679504395,-3.445133686065674,523.0,293.0,47.0,122.0,181.0,113.0,1.0,1.0,30.0,17.0,0.0,1.0,0.0,0.0,-0.2797669118341179,0.0,-1.0,0.0,-0.020692628926686257,0.0,0.0,-1.0,0.9594927635782781,0.0,0.0,0.0,1.0
8,1732953570.6966615,0.0,0.21660283207893372,-0.18927541375160217,0.9578141570091248,90.0,165.0,223.0,155.0,-2.045276641845703,-5.150369644165039,-3.3867268562316895,523.0,293.0,47.0,122.0,180.0,112.0,1.0,1.0,30.0,17.0,0.0,1.0,0.0,0.0,-0.280070418455437,0.0,-1.0,0.0,-0.02028983270585475,0.0,0.0,-1.0,0.9594033482227535,0.0,0.0,0.0,1.0
9,1732953570.8343947,0.0,0.2056349813938141,-0.18927541375160217,0.9601505994796753,89.0,164.0,223.0,154.0,-2.626768112182617,-4.299593925476074,-3.5098037719726562,524.0,294.0,46.0,121.0,180.0,111.0,1.0,1.0,30.0,17.0,0.0,1.0,0.0,0.0,-0.2799291602233788,0.0,-1.0,0.0,-0.019862811920766228,0.0,0.0,-1.0,0.9594681863880647,0.0,0.0,0.0,1.0
