,time_sec,gaze_x,gaze_y,gaze_z,Sgaze_x,Sgaze_y,Sgaze_z,REyePos_x,REyePos_y,LEyePos_x,LEyePos_y,yaw,pitch,roll,HeadPos_x,HeadPos_y,set_x,set_y,set_z,WTransG_x,WTransG_y,WTransG_z,RegSgaze_x,RegSgaze_y,RegSgaze_z,CalPSgaze_x,CalPSgaze_y,CalPSgaze_z,ROpenClose,LOpenClose
2,2024-11-30 15:59:38.857682,-0.2898639738559723,-0.28240782022476196,0.9107973575592041,296.30311102895115,128.27588130613879,0.0,86,164,219,154,-3.6847901,1.1613889,-3.8662086,521,299,154,87,0,-121.89729886938784,-8.081179900869186,412.27796701061857,320.0675639988639,105.13228803679968,0.0,272.5386580590384,151.41947457547786,0.0,1,1
3,2024-11-30 15:59:39.103747,0.02715788036584854,-0.26082661747932434,0.9645559787750244,153.674227484274,111.89326336666527,0.0,87,165,221,155,-3.3869255,-0.2392273,-4.0170975,519,298,154,87,0,-122.08372276825142,-8.101112862013856,412.22769548339585,177.4386804541867,88.74967009732617,0.0,129.90977451436132,135.03685663600436,0.0,1,1
4,2024-11-30 15:59:39.327738,0.02715788036584854,-0.25555291771888733,0.9645559787750244,152.88050307153918,109.433610883033,0.0,85,164,219,154,-3.118124,-1.567033,-3.8257651,521,299,154,87,0,-121.29644458965821,-8.367573130945063,412.45664389903436,176.64495604145188,86.2900176136939,0.0,129.11605010162648,132.57720415237208,0.0,1,1
5,2024-11-30 15:59:39.539149,0.02715788036584854,-0.2554035484790802,0.9651191234588623,153.21874583202856,108.78043782643549,0.0,86,164,220,154,-3.3827925,-2.4315076,-4.043077,520,299,154,87,0,-121.62471557812998,-8.863095438914831,412.3430815071386,176.98319880194126,85.6368445570964,0.0,129.45429286211586,131.92403109577458,0.0,1,1
6,2024-11-30 15:59:39.747361,-0.07676175236701965,-0.2554035484790802,0.9645559787750244,197.82439114328218,109.58910907662033,0.0,87,165,220,155,-3.1532834,-0.2390194,-3.9476037,519,298,154,87,0,-121.81498839267095,-8.108148887433572,412.30537678594106,221.58884411319488,86.44551580728124,0.0,174.05993817336946,132.7327023459594,0.0,1,1
7,2024-11-30 15:59:39.951134,-0.07676175236701965,-0.2554035484790802,0.964154064655304,197.8092560974174,109.28817571075842,0.0,86,164,220,154,-2.7449355,-1.2706943,-3.6692684,519,299,154,87,0,-121.78595403015854,-8.455328393902997,412.3081563344892,221.5737090673301,86.14458244141935,0.0,174.0448031275047,132.4317689800975,0.0,1,1
8,2024-11-30 15:59:40.152665,-0.07780688256025314,-0.25351983308792114,0.964154064655304,198.3066342340673,108.35740050196134,0.0,86,165,220,155,-3.3285718,0.5300503,-4.0453234,519,298,154,87,0,-121.83770386991274,-8.576294055331816,412.29194479532066,222.07108720398003,85.21380723262224,0.0,174.5421812641546,131.50099377130041,0.0,1,1
9,2024-11-30 15:59:40.387781,-0.07780688256025314,-0.2523361146450043,0.9645064473152161,198.10741676261134,108.20728023205986,0.0,87,164,221,153,-2.5307639,-1.1226277,-3.6663408,517,300,154,87,0,-121.64574310545747,-8.196697889912484,412.3526755185284,221.87186973252403,85.06368696272077,0.0,174.34296379269864,131.35087350139895,0.0,0,1
10,2024-11-30 15:59:40.595190,-0.07564791291952133,-0.25351983308792114,0.9645064473152161,198.0817630912045,108.08280338109309,0.0,87,164,221,153,-3.0059538,-1.6477814,-3.9999826,518,300,154,87,0,-122.56576687704194,-8.751307939277712,412.0637702165422,221.84621606111722,84.939210111754,0.0,174.3173101212918,131.22639665043218,0.0,1,1
11,2024-11-30 15:59:40.806581,-0.057272087782621384,-0.2523361146450043,0.9647641777992249,189.70270977718602,108.28508549797039,0.0,86,165,219,154,-3.8171175,-2.7973027,-3.9787793,519,299,154,87,0,-122.03324324674392,-8.061504650373957,412.243449145566,213.4671627470987,85.14149222863131,0.0,165.93825680727332,131.42867876730946,0.0,1,1
